58015,2021-04-01 10:16:00,30.5,1020.0,44,146,5.8,0.5,10496.5
58102,2021-04-01 10:16:00,22.3,1025.1,4,245,4.0,1.2,10083.8
58118,2021-04-01 10:16:00,16.7,1012.3,90,165,4.7,0.0,10077.9
58122,2021-04-01 10:16:00,31.2,1020.6,24,6,7.0,1.5,10351.2
58203,2021-04-01 10:16:00,17.0,1001.9,36,203,2.6,1.0,10111.5
58215,2021-04-01 10:16:00,7.6,1018.6,98,261,3.2,0.0,10494.9
58221,2021-04-01 10:16:00,0.3,1020.6,37,69,5.9,1.3,10166.1
58225,2021-04-01 10:16:00,31.4,1019.0,58,23,6.8,0.4,10241.2
58236,2021-04-01 10:16:00,4.9,1006.8,97,39,1.7,0.3,10120.2
58311,2021-04-01 10:16:00,33.5,1011.2,25,301,4.5,1.4,10083.8
58314,2021-04-01 10:16:00,1.6,1019.6,21,352,13.3,0.4,10142.5
58319,2021-04-01 10:16:00,12.6,1005.8,94,179,2.3,0.2,10255.0
58321,2021-04-01 10:16:00,0.8,1017.0,18,163,13.8,0.9,10042.1
58326,2021-04-01 10:16:00,32.5,1009.4,77,154,1.3,0.5,10060.8
58336,2021-04-01 10:16:00,0.4,1016.0,30,38,10.3,0.5,10232.7
58338,2021-04-01 10:16:00,31.1,1014.9,90,211,9.2,1.4,10467.5
58414,2021-04-01 10:16:00,21.6,1024.4,10,132,11.6,0.2,10097.0
58419,2021-04-01 10:16:00,11.7,1009.9,10,215,14.5,1.3,10152.7
58424,2021-04-01 10:16:00,30.0,1009.0,57,140,6.5,0.9,10002.3
58429,2021-04-01 10:16:00,22.0,1017.8,55,187,4.7,0.7,10176.1
58436,2021-04-01 10:16:00,26.3,1007.4,74,299,6.5,0.6,10116.7
58437,2021-04-01 10:16:00,13.3,1012.8,71,68,0.9,0.7,10391.9
58520,2021-04-01 10:16:00,24.7,1014.9,73,266,10.9,1.2,10423.4
58531,2021-04-01 10:16:00,6.8,1011.5,98,268,5.3,0.3,10098.6
54406,2021-04-01 10:16:00,32.8,1006.3,99,52,12.9,1.1,10286.9
54416,2021-04-01 10:16:00,19.4,1014.2,80,256,12.2,0.5,10052.3
54511,2021-04-01 10:16:00,28.1,1025.1,21,157,5.2,1.2,10345.0
58725,2021-04-01 10:16:00,0.8,1019.3,91,238,8.8,0.7,10437.3
58730,2021-04-01 10:16:00,8.6,1017.1,95,324,9.1,0.8,10117.8
58731,2021-04-01 10:16:00,30.5,1025.2,45,137,2.4,1.5,10475.9
58734,2021-04-01 10:16:00,25.5,1007.4,63,30,0.5,0.6,10172.4
58737,2021-04-01 10:16:00,27.0,1011.6,72,61,0.1,0.9,10493.5
58744,2021-04-01 10:16:00,24.0,1025.6,99,36,14.4,0.0,10036.7
58754,2021-04-01 10:16:00,31.0,1008.8,74,118,10.5,0.1,10028.0
58818,2021-04-01 10:16:00,0.0,1020.7,22,118,6.6,1.5,10222.8
58820,2021-04-01 10:16:00,22.6,1025.2,30,1,14.4,0.4,10144.9
58834,2021-04-01 10:16:00,25.6,1004.1,67,197,1.7,0.8,10307.7
58837,2021-04-01 10:16:00,29.7,1019.0,59,148,10.0,0.3,10266.4
58843,2021-04-01 10:16:00,30.7,1019.8,84,26,9.0,1.2,10266.6
58846,2021-04-01 10:16:00,33.0,1007.0,27,70,0.7,1.5,10025.3
58847,2021-04-01 10:16:00,10.4,1005.7,71,109,7.3,0.8,10430.3
58911,2021-04-01 10:16:00,19.0,1020.2,65,235,11.4,0.6,10429.0
58918,2021-04-01 10:16:00,29.2,1019.3,64,59,5.3,1.4,10029.1
58921,2021-04-01 10:16:00,3.5,1021.4,76,201,9.6,1.3,10219.6
58926,2021-04-01 10:16:00,2.1,1000.3,1,89,6.7,1.4,10133.9
58927,2021-04-01 10:16:00,25.2,1012.4,50,305,1.1,1.3,10133.6
58931,2021-04-01 10:16:00,9.7,1003.2,98,272,14.2,0.0,10092.4
58933,2021-04-01 10:16:00,6.0,1011.0,23,210,6.6,0.1,10177.3
58936,2021-04-01 10:16:00,17.8,1019.7,76,71,11.0,1.1,10105.1
58944,2021-04-01 10:16:00,33.1,1002.3,44,250,10.7,0.0,10171.2
59113,2021-04-01 10:16:00,17.9,1023.9,2,168,14.8,1.4,10485.8
59126,2021-04-01 10:16:00,27.5,1012.7,58,245,7.2,0.7,10301.4
59133,2021-04-01 10:16:00,31.0,1006.0,19,315,13.2,1.4,10167.3
59134,2021-04-01 10:16:00,27.0,1004.8,8,313,2.3,1.0,10183.4
59321,2021-04-01 10:16:00,32.2,1006.1,57,61,5.5,0.9,10286.1
52323,2021-04-01 10:16:00,21.0,1016.0,95,35,11.9,0.3,10496.1
